income_group,returns,total_income,avg_income
1,90,569,6.322222222222222
1,110,718,6.527272727272727
1,960,6271,6.532291666666667
1,210,1399,6.661904761904762
1,140,949,6.7785714285714285
1,210,1544,7.352380952380952
1,180,1348,7.488888888888889
1,150,1128,7.52
1,350,2653,7.58
1,90,688,7.644444444444445
1,110,857,7.790909090909091
1,100,788,7.88
1,170,1347,7.923529411764706
1,80,635,7.9375
1,200,1603,8.015
1,2020,16281,8.05990099009901
1,180,1456,8.088888888888889
1,1070,8709,8.139252336448598
1,2180,18097,8.301376146788991
1,2220,18494,8.330630630630631
1,110,919,8.354545454545455
1,3080,26024,8.449350649350649
1,90,761,8.455555555555556
1,110,931,8.463636363636363
1,480,4066,8.470833333333333
1,80,682,8.525
1,150,1287,8.58
1,130,1117,8.592307692307692
1,200,1724,8.62
1,110,949,8.627272727272727
1,90,778,8.644444444444444
1,100,874,8.74
1,100,875,8.75
1,300,2628,8.76
1,120,1052,8.766666666666667
1,720,6344,8.811111111111112
1,70,619,8.842857142857143
1,90,797,8.855555555555556
1,70,624,8.914285714285715
1,110,983,8.936363636363636
1,50,448,8.96
1,70,628,8.971428571428572
1,120,1081,9.008333333333333
1,90,811,9.011111111111111
1,70,632,9.028571428571428
1,120,1087,9.058333333333334
1,220,1996,9.072727272727272
1,390,3546,9.092307692307692
1,40,364,9.1
1,2350,21491,9.145106382978723
1,40,366,9.15
1,840,7707,9.175
1,110,1010,9.181818181818182
1,840,7715,9.18452380952381
1,620,5697,9.188709677419356
1,850,7814,9.192941176470589
1,1140,10505,9.214912280701755
1,720,6657,9.245833333333334
1,80,740,9.25
1,2050,18966,9.251707317073171
1,540,5008,9.274074074074074
1,2630,24394,9.275285171102661
1,2170,20138,9.280184331797235
1,200,1861,9.305
1,1590,14825,9.323899371069182
1,2330,21726,9.324463519313305
1,590,5506,9.332203389830509
1,40,375,9.375
1,160,1501,9.38125
1,40,376,9.4
1,2190,20594,9.40365296803653
1,2390,22529,9.426359832635983
1,940,8882,9.448936170212766
1,170,1608,9.458823529411765
1,1720,16321,9.488953488372093
1,30,285,9.5
1,170,1617,9.511764705882353
1,3580,34069,9.516480446927375
1,1230,11707,9.517886178861788
1,1090,10381,9.523853211009174
1,3910,37242,9.524808184143222
1,1710,16290,9.526315789473685
1,1510,14388,9.528476821192053
1,60,572,9.533333333333333
1,70,668,9.542857142857143
1,70,671,9.585714285714285
1,310,2977,9.603225806451613
1,1900,18253,9.606842105263159
1,230,2217,9.639130434782608
1,2250,21747,9.665333333333333
1,90,870,9.666666666666666
1,60,580,9.666666666666666
1,60,580,9.666666666666666
1,880,8507,9.667045454545455
1,2670,25835,9.676029962546817
1,1380,13375,9.692028985507246
1,140,1357,9.692857142857143
1,670,6497,9.697014925373134
1,1790,17362,9.699441340782123
1,1170,11350,9.7008547008547
1,100,971,9.71
1,3260,31694,9.722085889570552
1,40,390,9.75
1,40,390,9.75
1,880,8582,9.752272727272727
1,60,586,9.766666666666667
1,260,2542,9.776923076923078
1,1030,10077,9.783495145631068
1,280,2740,9.785714285714286
1,1750,17155,9.802857142857142
1,250,2451,9.804
1,1210,11893,9.828925619834711
1,800,7891,9.86375
1,5140,50716,9.866926070038911
1,2610,25772,9.874329501915708
1,80,790,9.875
1,1730,17108,9.889017341040462
1,50,495,9.9
1,30,297,9.9
1,820,8120,9.902439024390244
1,3330,32991,9.907207207207207
1,120,1189,9.908333333333333
1,3630,36053,9.931955922865013
1,120,1195,9.958333333333334
1,1490,14855,9.96979865771812
1,1490,14859,9.97248322147651
1,450,4488,9.973333333333333
1,4620,46077,9.973376623376623
1,590,5885,9.974576271186441
1,1950,19452,9.975384615384616
1,50,499,9.98
1,2150,21464,9.983255813953487
1,3150,31470,9.99047619047619
1,670,6698,9.997014925373135
1,2680,26821,10.007835820895522
1,2570,25768,10.026459143968872
1,70,702,10.028571428571428
1,1210,12143,10.035537190082644
1,2350,23605,10.04468085106383
1,3150,31660,10.05079365079365
1,3230,32487,10.057894736842105
1,3410,34316,10.063343108504398
1,110,1107,10.063636363636364
1,2510,25309,10.083266932270917
1,920,9295,10.103260869565217
1,1690,17078,10.105325443786983
1,1950,19718,10.111794871794872
1,1090,11028,10.11743119266055
1,1180,11949,10.126271186440677
1,100,1013,10.13
1,2530,25638,10.133596837944664
1,1340,13582,10.135820895522388
1,130,1318,10.138461538461538
1,420,4260,10.142857142857142
1,110,1116,10.145454545454545
1,1390,14106,10.14820143884892
1,80,812,10.15
1,1810,18388,10.159116022099447
1,3170,32224,10.165299684542587
1,3640,37020,10.17032967032967
1,1010,10278,10.176237623762376
1,190,1935,10.18421052631579
1,2640,26901,10.189772727272727
1,1690,17236,10.198816568047338
1,1390,14197,10.213669064748201
1,1420,14508,10.216901408450704
1,4870,49782,10.22217659137577
1,680,6960,10.235294117647058
1,80,819,10.2375
1,2840,29095,10.244718309859154
1,4370,44780,10.247139588100687
1,3500,35866,10.247428571428571
1,2830,29005,10.249116607773852
1,70,718,10.257142857142858
1,130,1334,10.261538461538462
1,2100,21573,10.272857142857143
1,40,411,10.275
1,90,925,10.277777777777779
1,1260,12950,10.277777777777779
